,x,y,UPRN,suitability,co-ord,lat,lon
0,618568,168147,100060839706,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.37029753110847, 1.1387779943050538)",51.37029753110847,1.1387779943050538
1,357864,175937,44607,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.48080936446729, -2.608156842715221)",51.48080936446729,-2.608156842715221
2,531329,187668,100023190515,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.57259215987087, -0.10635885732625322)",51.57259215987087,-0.10635885732625322
3,374003,164410,10001127090,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.378141129653265, -2.3749097767786016)",51.378141129653265,-2.3749097767786016
4,373962,164424,10001135699,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.37826512259227, -2.3754998774670564)",51.37826512259227,-2.3754998774670564
5,581595,110172,100062671412,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(50.86253770716801, 0.5790585951338296)",50.86253770716801,0.5790585951338296
6,439551,113796,100062508541,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(50.92227259402051, -1.4386770669601656)",50.92227259402051,-1.4386770669601656
7,426211,438160,72552130,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(53.83903422224282, -1.6031633713510653)",53.83903422224282,-1.6031633713510653
8,515469,249769,10023398671,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(52.13416648485835, -0.31437509646679)",52.13416648485835,-0.31437509646679
9,497092,369875,235018208,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(53.21707032394544, -0.5474024616000681)",53.21707032394544,-0.5474024616000681
10,544380,178275,100021012693,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(51.485003304846494, 0.07798851382617282)",51.485003304846494,0.07798851382617282
11,428723,435062,72103968,"{'count': 0, 'demand': -0.0, 'total': -0.0}","(53.811058226156554, -1.565278691800828)",53.811058226156554,-1.565278691800828
